technique_ID,sub_technique_ID,technique_name,technique
T1001,T1001.002,Data Obfuscation: Steganography,"When the Duqu command and control is operating over HTTP or HTTPS, Duqu uploads data to its controller by appending it to a blank JPG file."
T1001,T1001.002,Data Obfuscation: Steganography,HAMMERTOSS is controlled via commands that are appended to image files.
T1001,T1001.002,Data Obfuscation: Steganography,LightNeuron is controlled via commands that are embedded into PDFs and JPGs using steganographic methods.
T1001,T1001.002,Data Obfuscation: Steganography,"During Operation Ghost, APT29 used steganography to hide the communications between the implants and their C&C servers."
T1001,T1001.002,Data Obfuscation: Steganography,RDAT can process steganographic images attached to email messages to send and receive C2 commands. RDAT can also embed additional messages within BMP images to communicate with the RDAT operator.
T1001,T1001.002,Data Obfuscation: Steganography,Sliver can encode binary data into a .PNG file for C2 communication.
T1001,T1001.002,Data Obfuscation: Steganography,SUNBURST C2 data attempted to appear as benign XML related to .NET assemblies or as a faux JSON blob.
T1001,T1001.002,Data Obfuscation: Steganography,ZeroT has retrieved stage 2 payloads as Bitmap images that use Least Significant Bit (LSB) steganography.
T1001,T1001.002,Data Obfuscation: Steganography,Zox has used the .PNG file format for C2 communications.
T1001,T1001.003,Data Obfuscation: Protocol Impersonation,BADCALL uses a FakeTLS method during C2.
T1001,T1001.003,Data Obfuscation: Protocol Impersonation,Bankshot generates a false TLS handshake using a public certificate to disguise C2 network communications.
T1001,T1001.003,Data Obfuscation: Protocol Impersonation,"During C0017, APT41 frequently configured the URL endpoints of their stealthy passive backdoor LOWKEY.PASSIVE to masquerade as normal web application traffic on an infected server."
T1001,T1001.003,Data Obfuscation: Protocol Impersonation,"Cobalt Strike can mimic the HTTP protocol for C2 communication, while hiding the actual data in either an HTTP header, URI parameter, the transaction body, or appending it to the URI."
T1001,T1001.003,Data Obfuscation: Protocol Impersonation,"FakeM C2 traffic attempts to evade detection by resembling data generated by legitimate messenger applications, such as MSN and Yahoo! messengers. Additionally, some variants of FakeM use modified SSL code for communications back to C2 servers, making SSL decryption ineffective."
T1001,T1001.003,Data Obfuscation: Protocol Impersonation,FALLCHILL uses fake Transport Layer Security (TLS) to communicate with its C2 server.
T1001,T1001.003,Data Obfuscation: Protocol Impersonation,HARDRAIN uses FakeTLS to communicate with its C2 server.
T1001,T1001.003,Data Obfuscation: Protocol Impersonation,Higaisa used a FakeTLS session for C2 communications.
T1001,T1001.003,Data Obfuscation: Protocol Impersonation,"InvisiMole can mimic HTTP protocol with custom HTTP ""verbs"" HIDE, ZVVP, and NOP."
T1001,T1001.003,Data Obfuscation: Protocol Impersonation,KeyBoy uses custom SSL libraries to impersonate SSL in C2 traffic.
T1001,T1001.003,Data Obfuscation: Protocol Impersonation,"Lazarus Group malware also uses a unique form of communication encryption known as FakeTLS that mimics TLS but uses a different encryption method, potentially evading SSL traffic inspection/decryption."
T1001,T1001.003,Data Obfuscation: Protocol Impersonation,"Okrum mimics HTTP protocol for C2 communication, while hiding the actual messages in the Cookie and Set-Cookie headers of the HTTP requests."
T1001,T1001.003,Data Obfuscation: Protocol Impersonation,SUNBURST masqueraded its network traffic as the Orion Improvement Program (OIP) protocol.
T1001,T1001.003,Data Obfuscation: Protocol Impersonation,TAINTEDSCRIBE has used FakeTLS for session authentication.
T1001,T1001.003,Data Obfuscation: Protocol Impersonation,"Uroburos can use custom communication methodologies that ride over common  protocols including TCP, UDP, HTTP, SMTP, and DNS in order to blend with normal network traffic. "
T1001,T1001,Data Obfuscation,FlawedAmmyy may obfuscate portions of the initial C2 handshake.
T1001,T1001,Data Obfuscation,FunnyDream can send compressed and obfuscated packets to C2.
T1001,T1001,Data Obfuscation,"During Operation Wocao, threat actors encrypted IP addresses used for ""Agent"" proxy hops with RC4."
T1001,T1001,Data Obfuscation,RDAT has used encoded data within subdomains as AES ciphertext to communicate from the host to the C2.
T1001,T1001,Data Obfuscation,SideTwist can embed C2 responses in the source code of a fake Flickr webpage.
T1001,T1001,Data Obfuscation,SLOTHFULMEDIA has hashed a string containing system information prior to exfiltration via POST requests.
T1001,T1001,Data Obfuscation,TrailBlazer can masquerade its C2 traffic as legitimate Google Notifications HTTP requests.
T1003,T1003.001,OS Credential Dumping: LSASS Memory,"During the 2016 Ukraine Electric Power Attack, Sandworm Team used Mimikatz to capture and use legitimate credentials."
T1003,T1003.001,OS Credential Dumping: LSASS Memory,APT1 has been known to use credential dumping using Mimikatz.
T1003,T1003.001,OS Credential Dumping: LSASS Memory,APT28 regularly deploys both publicly available (ex: Mimikatz) and custom password retrieval tools on victims. They have also dumped the LSASS process memory using the MiniDump function.
T1003,T1003.001,OS Credential Dumping: LSASS Memory,"APT3 has used a tool to dump credentials by injecting itself into lsass.exe and triggering with the argument ""dig."""
T1003,T1003.001,OS Credential Dumping: LSASS Memory,APT32 used Mimikatz and customized versions of Windows Credential Dumper to harvest credentials.
T1003,T1003.001,OS Credential Dumping: LSASS Memory,"APT33 has used a variety of publicly available tools like LaZagne, Mimikatz, and ProcDump to dump credentials."
T1003,T1003.001,OS Credential Dumping: LSASS Memory,"APT39 has used Mimikatz, Windows Credential Editor and ProcDump to dump credentials."
T1003,T1003.001,OS Credential Dumping: LSASS Memory,"APT41 has used hashdump, Mimikatz, and the Windows Credential Editor to dump password hashes from memory and authenticate to other user accounts."
T1003,T1003.001,OS Credential Dumping: LSASS Memory,Aquatic Panda has attempted to harvest credentials through LSASS memory dumping.
T1003,T1003.001,OS Credential Dumping: LSASS Memory,Bad Rabbit has used Mimikatz to harvest credentials from the victim's machine.
T1003,T1003.001,OS Credential Dumping: LSASS Memory,Blue Mockingbird has used Mimikatz to retrieve credentials from LSASS memory.
T1003,T1003.001,OS Credential Dumping: LSASS Memory,BRONZE BUTLER has used various tools (such as Mimikatz and WCE) to perform credential dumping.
T1003,T1003.001,OS Credential Dumping: LSASS Memory,Cleaver has been known to dump credentials using Mimikatz and Windows Credential Editor.
T1003,T1003.001,OS Credential Dumping: LSASS Memory,Cobalt Strike can spawn a job to inject into LSASS memory and dump password hashes.
T1003,T1003.001,OS Credential Dumping: LSASS Memory,CozyCar has executed Mimikatz to harvest stored credentials from the victim and further victim penetration.
T1003,T1003.001,OS Credential Dumping: LSASS Memory,Daserf leverages Mimikatz and Windows Credential Editor to steal credentials.
T1003,T1003.001,OS Credential Dumping: LSASS Memory,Earth Lusca has used ProcDump to obtain the hashes of credentials by dumping the memory of the LSASS process.
T1003,T1003.001,OS Credential Dumping: LSASS Memory,Emotet has been observed dropping password grabber modules including Mimikatz. 
T1003,T1003.001,OS Credential Dumping: LSASS Memory,Empire contains an implementation of Mimikatz to gather credentials from memory.
T1003,T1003.001,OS Credential Dumping: LSASS Memory,FIN13 has obtained memory dumps with ProcDump to parse and extract credentials from a victim's LSASS process memory with Mimikatz.
T1003,T1003.001,OS Credential Dumping: LSASS Memory,FIN6 has used Windows Credential Editor for credential dumping.
T1003,T1003.001,OS Credential Dumping: LSASS Memory,FIN8 harvests credentials using Invoke-Mimikatz or Windows Credentials Editor (WCE).
T1003,T1003.001,OS Credential Dumping: LSASS Memory,Fox Kitten has used prodump to dump credentials from LSASS.
T1003,T1003.001,OS Credential Dumping: LSASS Memory,GALLIUM used a modified version of Mimikatz along with a PowerShell-based Mimikatz to dump credentials on the victim machines.
T1003,T1003.001,OS Credential Dumping: LSASS Memory,GreyEnergy has a module for Mimikatz to collect Windows credentials from the victim’s machine.
T1003,T1003.001,OS Credential Dumping: LSASS Memory,HAFNIUM has used procdump to dump the LSASS process memory.
T1003,T1003.001,OS Credential Dumping: LSASS Memory,SecretsDump and Mimikatz modules within Impacket can perform credential dumping to obtain account and password information.
T1003,T1003.001,OS Credential Dumping: LSASS Memory,Indrik Spider used Cobalt Strike to carry out credential dumping using ProcDump.
T1003,T1003.001,OS Credential Dumping: LSASS Memory,"Ke3chang has dumped credentials, including by using Mimikatz."
T1003,T1003.001,OS Credential Dumping: LSASS Memory,Kimsuky has gathered credentials using Mimikatz and ProcDump.
T1003,T1003.001,OS Credential Dumping: LSASS Memory,LaZagne can perform credential dumping from memory to obtain account and password information.
T1003,T1003.001,OS Credential Dumping: LSASS Memory,"Leafminer used several tools for retrieving login and password information, including LaZagne and Mimikatz."
T1003,T1003.001,OS Credential Dumping: LSASS Memory,"Leviathan has used publicly available tools to dump password hashes, including ProcDump and WCE."
T1003,T1003.001,OS Credential Dumping: LSASS Memory,Lizar can run Mimikatz to harvest credentials.
T1003,T1003.001,OS Credential Dumping: LSASS Memory,Lslsass can dump active logon session password hashes from the lsass process.
T1003,T1003.001,OS Credential Dumping: LSASS Memory,Mafalda can dump password hashes from LSASS.exe.
T1003,T1003.001,OS Credential Dumping: LSASS Memory,"Magic Hound has stolen domain credentials by dumping LSASS process memory using Task Manager, comsvcs.dll, and from a Microsoft Active Directory Domain Controller using Mimikatz."
T1003,T1003.001,OS Credential Dumping: LSASS Memory,"Mimikatz performs credential dumping to obtain account and password information useful in gaining access to additional systems and enterprise network resources. It contains functionality to acquire information about credentials in many ways, including from the LSASS Memory."
T1003,T1003.001,OS Credential Dumping: LSASS Memory,MuddyWater has performed credential dumping with Mimikatz and procdump64.exe.
T1003,T1003.001,OS Credential Dumping: LSASS Memory,Net Crawler uses credential dumpers such as Mimikatz and Windows Credential Editor to extract cached credentials from Windows systems.
T1003,T1003.001,OS Credential Dumping: LSASS Memory,NotPetya contains a modified version of Mimikatz to help gather credentials that are later used for lateral movement.
T1003,T1003.001,OS Credential Dumping: LSASS Memory,OilRig has used credential dumping tools such as Mimikatz to steal credentials to accounts logged into the compromised system and to Outlook Web Access.
T1003,T1003.001,OS Credential Dumping: LSASS Memory,Okrum was seen using MimikatzLite to perform credential dumping.
T1003,T1003.001,OS Credential Dumping: LSASS Memory,"Olympic Destroyer contains a module that tries to obtain credentials from LSASS, similar to Mimikatz. These credentials are used with PsExec and Windows Management Instrumentation to help the malware propagate itself across a network."
T1003,T1003.001,OS Credential Dumping: LSASS Memory,"During Operation Wocao, threat actors used ProcDump to dump credentials from memory."
T1003,T1003.001,OS Credential Dumping: LSASS Memory,PLATINUM has used keyloggers that are also capable of dumping credentials.
T1003,T1003.001,OS Credential Dumping: LSASS Memory,"PoetRAT used voStro.exe, a compiled pypykatz (Python version of Mimikatz), to steal credentials."
T1003,T1003.001,OS Credential Dumping: LSASS Memory,PoshC2 contains an implementation of Mimikatz to gather credentials from memory.
T1003,T1003.001,OS Credential Dumping: LSASS Memory,PowerSploit contains a collection of Exfiltration modules that can harvest credentials using Mimikatz.
T1003,T1003.001,OS Credential Dumping: LSASS Memory,Pupy can execute Lazagne as well as Mimikatz using PowerShell.
T1003,T1003.001,OS Credential Dumping: LSASS Memory,Pysa can perform OS credential dumping using Mimikatz.
T1003,T1003.001,OS Credential Dumping: LSASS Memory,"Sandworm Team has used its plainpwd tool, a modified version of Mimikatz, and comsvcs.dll to dump Windows credentials from system memory."
T1003,T1003.001,OS Credential Dumping: LSASS Memory,Silence has used the Farse6.1 utility (based on Mimikatz) to extract credentials from lsass.exe.
T1003,T1003.001,OS Credential Dumping: LSASS Memory,SILENTTRINITY can create a memory dump of LSASS via the MiniDumpWriteDump Win32 API call.
T1003,T1003.001,OS Credential Dumping: LSASS Memory,"TEMP.Veles has used Mimikatz and a custom tool, SecHack, to harvest credentials. "
T1003,T1003.001,OS Credential Dumping: LSASS Memory,Threat Group-3390 actors have used a modified version of Mimikatz called Wrapikatz to dump credentials. They have also dumped credentials from domain controllers.
T1003,T1003.001,OS Credential Dumping: LSASS Memory,Volt Typhoon has attempted to access hashed credentials from the LSASS process memory space.
T1003,T1003.001,OS Credential Dumping: LSASS Memory,Whitefly has used Mimikatz to obtain credentials.
T1003,T1003.001,OS Credential Dumping: LSASS Memory,Windows Credential Editor can dump credentials.
T1003,T1003.001,OS Credential Dumping: LSASS Memory,Wizard Spider has dumped the lsass.exe memory to harvest credentials with the use of open-source tool LaZagne.
T1003,T1003.002,OS Credential Dumping: Security Account Manager,APT29 has used the reg save command to save registry hives.
T1003,T1003.002,OS Credential Dumping: Security Account Manager,"During C0017, APT41 copied the SAM and SYSTEM Registry hives for credential harvesting."
T1003,T1003.002,OS Credential Dumping: Security Account Manager,Cobalt Strike can recover hashed passwords.
T1003,T1003.002,OS Credential Dumping: Security Account Manager,CosmicDuke collects Windows account hashes.
T1003,T1003.002,OS Credential Dumping: Security Account Manager,"Password stealer and NTLM stealer modules in CozyCar harvest stored credentials from the victim, including credentials used as part of Windows NTLM user authentication."
T1003,T1003.002,OS Credential Dumping: Security Account Manager,CrackMapExec can dump usernames and hashed passwords from the SAM.
T1003,T1003.002,OS Credential Dumping: Security Account Manager,Dragonfly has dropped and executed SecretsDump to dump password hashes.
T1003,T1003.002,OS Credential Dumping: Security Account Manager,Fgdump can dump Windows password hashes.
T1003,T1003.002,OS Credential Dumping: Security Account Manager,FIN13 has extracted the SAM and SYSTEM registry hives using the reg.exe binary for obtaining password hashes from a compromised machine.
T1003,T1003.002,OS Credential Dumping: Security Account Manager,"GALLIUM used reg commands to dump specific hives from the Windows Registry, such as the SAM hive, and obtain password hashes."
T1003,T1003.002,OS Credential Dumping: Security Account Manager,gsecdump can dump Windows password hashes from the SAM.
T1003,T1003.002,OS Credential Dumping: Security Account Manager,HOPLIGHT has the capability to harvest credentials and passwords from the SAM database.
T1003,T1003.002,OS Credential Dumping: Security Account Manager,"IceApple's Credential Dumper module can dump encrypted password hashes from SAM registry keys, including HKLM\SAM\SAM\Domains\Account\F and HKLM\SAM\SAM\Domains\Account\Users\*\V."
T1003,T1003.002,OS Credential Dumping: Security Account Manager,SecretsDump and Mimikatz modules within Impacket can perform credential dumping to obtain account and password information.
T1003,T1003.002,OS Credential Dumping: Security Account Manager,"Ke3chang has dumped credentials, including by using gsecdump."
T1003,T1003.002,OS Credential Dumping: Security Account Manager,Koadic can gather hashed passwords by dumping SAM/SECURITY hive.
T1003,T1003.002,OS Credential Dumping: Security Account Manager,menuPass has used a modified version of pentesting tools wmiexec.vbs and secretsdump.py to dump credentials.
T1003,T1003.002,OS Credential Dumping: Security Account Manager,"Mimikatz performs credential dumping to obtain account and password information useful in gaining access to additional systems and enterprise network resources. It contains functionality to acquire information about credentials in many ways, including from the SAM table."
T1003,T1003.002,OS Credential Dumping: Security Account Manager,Mivast has the capability to gather NTLM password information.
T1003,T1003.002,OS Credential Dumping: Security Account Manager,"During Night Dragon, threat actors dumped account hashes using gsecdump."
T1003,T1003.002,OS Credential Dumping: Security Account Manager,"During Operation CuckooBees, the threat actors leveraged a custom tool to dump OS credentials and used following commands: reg save HKLM\\SYSTEM system.hiv, reg save HKLM\\SAM sam.hiv, and reg save HKLM\\SECURITY security.hiv, to dump SAM, SYSTEM and SECURITY hives."
T1003,T1003.002,OS Credential Dumping: Security Account Manager,POWERTON has the ability to dump password hashes.
T1003,T1003.002,OS Credential Dumping: Security Account Manager,pwdump can be used to dump credentials from the SAM.
T1003,T1003.002,OS Credential Dumping: Security Account Manager,Remsec can dump the SAM database.
T1003,T1003.002,OS Credential Dumping: Security Account Manager,Threat Group-3390 actors have used gsecdump to dump credentials. They have also dumped credentials from domain controllers.
T1003,T1003.002,OS Credential Dumping: Security Account Manager,Wizard Spider has acquired credentials from the SAM/SECURITY registry hives.
T1003,T1003.003,OS Credential Dumping: NTDS,APT28 has used the ntdsutil.exe utility to export the Active Directory database for credential access.
T1003,T1003.003,OS Credential Dumping: NTDS,"Chimera has gathered the SYSTEM registry and ntds.dit files from target systems. Chimera specifically has used the NtdsAudit tool to dump the password hashes of domain users via msadcs.exe ""NTDS.dit"" -s ""SYSTEM"" -p RecordedTV_pdmp.txt --users-csv RecordedTV_users.csv and used ntdsutil to copy the Active Directory database."
T1003,T1003.003,OS Credential Dumping: NTDS,"CrackMapExec can dump hashed passwords associated with Active Directory using Windows' Directory Replication Services API (DRSUAPI), or Volume Shadow Copy."
T1003,T1003.003,OS Credential Dumping: NTDS,Dragonfly has dropped and executed SecretsDump to dump password hashes. They also obtained ntds.dit from domain controllers.
T1003,T1003.003,OS Credential Dumping: NTDS,esentutl can copy ntds.dit using the Volume Shadow Copy service.
T1003,T1003.003,OS Credential Dumping: NTDS,FIN13 has harvested the NTDS.DIT file and leveraged the Impacket tool on the compromised domain controller to locally decrypt it.
T1003,T1003.003,OS Credential Dumping: NTDS,FIN6 has used Metasploit’s PsExec NTDSGRAB module to obtain a copy of the victim's Active Directory database.
T1003,T1003.003,OS Credential Dumping: NTDS,Fox Kitten has used Volume Shadow Copy to access credential information from NTDS.
T1003,T1003.003,OS Credential Dumping: NTDS,HAFNIUM has stolen copies of the Active Directory database (NTDS.DIT).
T1003,T1003.003,OS Credential Dumping: NTDS,SecretsDump and Mimikatz modules within Impacket can perform credential dumping to obtain account and password information from NTDS.dit.
T1003,T1003.003,OS Credential Dumping: NTDS,Ke3chang has used NTDSDump and other password dumping tools to gather credentials.
T1003,T1003.003,OS Credential Dumping: NTDS,Koadic can gather hashed passwords by gathering domain controller hashes from NTDS.
T1003,T1003.003,OS Credential Dumping: NTDS,LAPSUS$ has used Windows built-in tool ntdsutil to extract the Active Directory (AD) database.
T1003,T1003.003,OS Credential Dumping: NTDS,menuPass has used Ntdsutil to dump credentials.
T1003,T1003.003,OS Credential Dumping: NTDS,Mustang Panda has used vssadmin to create a volume shadow copy and retrieve the NTDS.dit file. Mustang Panda has also used reg save on the SYSTEM file Registry location to help extract the NTDS.dit file.
T1003,T1003.003,OS Credential Dumping: NTDS,"Sandworm Team has used ntdsutil.exe to back up the Active Directory database, likely for credential access."
T1003,T1003.003,OS Credential Dumping: NTDS,Volt Typhoon has used ntds.util to create domain controller installation media containing usernames and password hashes.
T1003,T1003.003,OS Credential Dumping: NTDS,"Wizard Spider has gained access to credentials via exported copies of the ntds.dit Active Directory database. Wizard Spider has also created a volume shadow copy and used a batch script file to collect NTDS.dit with the use of the Windows utility, ntdsutil."
T1003,T1003.004,OS Credential Dumping: LSA Secrets,AADInternals can dump secrets from the Local Security Authority.
T1003,T1003.004,OS Credential Dumping: LSA Secrets,APT29 has used the reg save command to extract LSA secrets offline.
T1003,T1003.004,OS Credential Dumping: LSA Secrets,APT33 has used a variety of publicly available tools like LaZagne to gather credentials.
T1003,T1003.004,OS Credential Dumping: LSA Secrets,CosmicDuke collects LSA secrets.
T1003,T1003.004,OS Credential Dumping: LSA Secrets,CrackMapExec can dump hashed passwords from LSA secrets for the targeted system.
T1003,T1003.004,OS Credential Dumping: LSA Secrets,Dragonfly has dropped and executed SecretsDump to dump password hashes.
T1003,T1003.004,OS Credential Dumping: LSA Secrets,gsecdump can dump LSA secrets.
T1003,T1003.004,OS Credential Dumping: LSA Secrets,"IceApple's Credential Dumper module can dump LSA secrets from registry keys, including: HKLM\SECURITY\Policy\PolEKList\default, HKLM\SECURITY\Policy\Secrets\*\CurrVal, and HKLM\SECURITY\Policy\Secrets\*\OldVal."
T1003,T1003.004,OS Credential Dumping: LSA Secrets,SecretsDump and Mimikatz modules within Impacket can perform credential dumping to obtain account and password information.
T1003,T1003.004,OS Credential Dumping: LSA Secrets,"Ke3chang has dumped credentials, including by using gsecdump."
T1003,T1003.004,OS Credential Dumping: LSA Secrets,LaZagne can perform credential dumping from LSA secrets to obtain account and password information.
T1003,T1003.004,OS Credential Dumping: LSA Secrets,"Leafminer used several tools for retrieving login and password information, including LaZagne."
T1003,T1003.004,OS Credential Dumping: LSA Secrets,menuPass has used a modified version of pentesting tools wmiexec.vbs and secretsdump.py to dump credentials.
T1003,T1003.004,OS Credential Dumping: LSA Secrets,"Mimikatz performs credential dumping to obtain account and password information useful in gaining access to additional systems and enterprise network resources. It contains functionality to acquire information about credentials in many ways, including from the LSA."
T1003,T1003.004,OS Credential Dumping: LSA Secrets,MuddyWater has performed credential dumping with LaZagne.
T1003,T1003.004,OS Credential Dumping: LSA Secrets,OilRig has used credential dumping tools such as LaZagne to steal credentials to accounts logged into the compromised system and to Outlook Web Access.
T1003,T1003.004,OS Credential Dumping: LSA Secrets,Pupy can use Lazagne for harvesting credentials.
T1003,T1003.004,OS Credential Dumping: LSA Secrets,Threat Group-3390 actors have used gsecdump to dump credentials. They have also dumped credentials from domain controllers.
T1003,T1003.005,OS Credential Dumping: Cached Domain Credentials,APT33 has used a variety of publicly available tools like LaZagne to gather credentials.
T1003,T1003.005,OS Credential Dumping: Cached Domain Credentials,Cachedump can extract cached password hashes from cache entry information.
T1003,T1003.005,OS Credential Dumping: Cached Domain Credentials,LaZagne can perform credential dumping from MSCache to obtain account and password information.
T1003,T1003.005,OS Credential Dumping: Cached Domain Credentials,"Leafminer used several tools for retrieving login and password information, including LaZagne."
T1003,T1003.005,OS Credential Dumping: Cached Domain Credentials,MuddyWater has performed credential dumping with LaZagne.
T1003,T1003.005,OS Credential Dumping: Cached Domain Credentials,OilRig has used credential dumping tools such as LaZagne to steal credentials to accounts logged into the compromised system and to Outlook Web Access.
T1003,T1003.005,OS Credential Dumping: Cached Domain Credentials,Okrum was seen using modified Quarks PwDump to perform credential dumping.
T1003,T1003.005,OS Credential Dumping: Cached Domain Credentials,Pupy can use Lazagne for harvesting credentials.
T1003,T1003.006,OS Credential Dumping: DCSync,"During C0027, Scattered Spider performed domain replication."
T1003,T1003.006,OS Credential Dumping: DCSync,Earth Lusca has used a DCSync command with Mimikatz to retrieve credentials from an exploited controller.
T1003,T1003.006,OS Credential Dumping: DCSync,LAPSUS$ has used DCSync attacks to gather credentials for privilege escalation routines.
T1003,T1003.006,OS Credential Dumping: DCSync,"Mimikatz performs credential dumping to obtain account and password information useful in gaining access to additional systems and enterprise network resources. It contains functionality to acquire information about credentials in many ways, including from DCSync/NetSync."
T1003,T1003.006,OS Credential Dumping: DCSync,"During Operation Wocao, threat actors used Mimikatz's DCSync to dump credentials from the memory of the targeted system."
T1003,T1003.006,OS Credential Dumping: DCSync,"During the SolarWinds Compromise, APT29 used privileged accounts to replicate directory service data with domain controllers."
T1003,T1003.007,OS Credential Dumping: Proc Filesystem,LaZagne can use the <PID>/maps and <PID>/mem files to identify regex patterns to dump cleartext passwords from the browser's process memory.
T1003,T1003.007,OS Credential Dumping: Proc Filesystem,MimiPenguin can use the <PID>/maps and <PID>/mem file to search for regex patterns and dump the process memory.
T1003,T1003.008,OS Credential Dumping: /etc/passwd and /etc/shadow,LaZagne can obtain credential information from /etc/shadow using the shadow.py module.
T1003,T1003,OS Credential Dumping,APT28 regularly deploys both publicly available (ex: Mimikatz) and custom password retrieval tools on victims.
T1003,T1003,OS Credential Dumping,APT32 used GetPassword_x64 to harvest credentials.
T1003,T1003,OS Credential Dumping,APT39 has used different versions of Mimikatz to obtain credentials.
T1003,T1003,OS Credential Dumping,Axiom has been known to dump credentials.
T1003,T1003,OS Credential Dumping,Carbanak obtains Windows logon password details.
T1003,T1003,OS Credential Dumping,HOMEFRY can perform credential dumping.
T1003,T1003,OS Credential Dumping,"Leviathan has used publicly available tools to dump password hashes, including HOMEFRY."
T1003,T1003,OS Credential Dumping,OnionDuke steals credentials from its victims.
T1003,T1003,OS Credential Dumping,"PinchDuke steals credentials from compromised hosts. PinchDuke's credential stealing functionality is believed to be based on the source code of the Pinch credential stealing malware (also known as LdPinch). Credentials targeted by PinchDuke include ones associated many sources such as WinInet Credential Cache, and Lightweight Directory Access Protocol (LDAP)."
T1003,T1003,OS Credential Dumping,"Poseidon Group conducts credential dumping on victims, with a focus on obtaining credentials belonging to domain and database servers."
T1003,T1003,OS Credential Dumping,Revenge RAT has a plugin for credential harvesting.
T1003,T1003,OS Credential Dumping,Sowbug has used credential dumping tools.
T1003,T1003,OS Credential Dumping,Suckfly used a signed credential-dumping tool to obtain victim account credentials.
T1003,T1003,OS Credential Dumping,Tonto Team has used a variety of credential dumping tools.
T1003,T1003,OS Credential Dumping,Trojan.Karagany can dump passwords and save them into \ProgramData\Mail\MailAg\pwds.txt.
T1005,T1005,Data from Local System,Action RAT can collect local data from an infected machine.
T1005,T1005,Data from Local System,Amadey can collect information from a compromised host.
T1005,T1005,Data from Local System,Andariel has collected large numbers of files from compromised network systems for later extraction.
T1005,T1005,Data from Local System,AppleSeed can collect data on a compromised host.
T1005,T1005,Data from Local System,APT1 has collected files from a local victim.
T1005,T1005,Data from Local System,"APT28 has retrieved internal documents from machines inside victim environments, including by using Forfiles to stage documents before exfiltration."
T1005,T1005,Data from Local System,APT29 has stolen data from compromised hosts.
T1005,T1005,Data from Local System,APT3 will identify Microsoft Office documents on the victim's computer.
T1005,T1005,Data from Local System,APT37 has collected data from victims' local systems.
T1005,T1005,Data from Local System,APT38 has collected data from a compromised host.
T1005,T1005,Data from Local System,APT39 has used various tools to steal files from the compromised host.
T1005,T1005,Data from Local System,APT41 has uploaded files and data from a compromised host.
T1005,T1005,Data from Local System,"AuTo Stealer can collect data such as PowerPoint files, Word documents, Excel files, PDF files, text files, database files, and image files from an infected machine."
T1005,T1005,Data from Local System,Axiom has collected data from a compromised network.
T1005,T1005,Data from Local System,BADFLICK has uploaded files from victims' machines.
T1005,T1005,Data from Local System,"When it first starts, BADNEWS crawls the victim's local drives and collects documents with the following extensions: .doc, .docx, .pdf, .ppt, .pptx, and .txt."
T1005,T1005,Data from Local System,"BadPatch collects files from the local system that have the following extensions, then prepares them for exfiltration: .xls, .xlsx, .pdf, .mdb, .rar, .zip, .doc, .docx."
T1005,T1005,Data from Local System,Bandook can collect local files from the system .
T1005,T1005,Data from Local System,Bankshot collects files from the local system.
T1005,T1005,Data from Local System,Bazar can retrieve information from the infected machine.
T1005,T1005,Data from Local System,Bisonal has collected information from a compromised host.
T1005,T1005,Data from Local System,BlackMould can copy files on a compromised host.
T1005,T1005,Data from Local System,BLINDINGCAN has uploaded files from victim machines.
T1005,T1005,Data from Local System,BoxCaon can upload files from a compromised host.
